mz-peak	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=187.128	met6920	Polyethylene glycol	HMDB0037790	Cosmetic|Drug|Food	Organic compounds	Cytoplasm|Extracellular	187.12084341	C9H17NO3
m/z=351.1657	met30677	Tryptophyl-Phenylalanine	HMDB0029090	Endogenous	Organic compounds	NULL	351.15829155	C20H21N3O3
m/z=351.1657	met35944	Phenylalanyl-Tryptophan	HMDB0029006	Endogenous	Organic compounds	NULL	351.15829155	C20H21N3O3
m/z=529.2633	met23242	Glycochenodeoxycholate-3-sulfate	HMDB0002497	Endogenous|Food	Lipids and lipid-like molecules	Extracellular	529.27093805	C26H43NO8S
m/z=529.2633	met3349	N-[(3a,5b,7b)-7-hydroxy-24-oxo-3-(sulfooxy)cholan-24-yl]-Glycine	HMDB0002409	Endogenous|Food|Microbial	Lipids and lipid-like molecules	Extracellular	529.27093805	C26H43NO8S
m/z=529.2633	met5706	N-[(3a,5b,7a)-3-hydroxy-24-oxo-7-(sulfooxy)cholan-24-yl]-Glycine	HMDB0002496	Endogenous|Food	Lipids and lipid-like molecules	Extracellular	529.27093805	C26H43NO8S
m/z=90.0243	met7579	Methoxyacetic acid	HMDB0041929	Endogenous	Organic compounds	NULL	90.03169406	C3H6O3
m/z=90.0243	met19021	Hydroxypropionic acid	HMDB0000700	Endogenous|Microbial	Organic compounds	Cytoplasm (predicted from logP)	90.03169406	C3H6O3
m/z=90.0243	met13305	D-Lactic acid	HMDB0001311	Endogenous|Microbial	Organic acids and derivatives	Extracellular|Mitochondria	90.03169406	C3H6O3
m/z=90.0243	met38662	Monoethyl carbonate	HMDB0031232	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	90.03169406	C3H6O3
m/z=90.0243	met47058	Dimethyl carbonate	HMDB0029580	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	90.03169406	C3H6O3
m/z=90.0243	met27515	Glyceraldehyde	HMDB0001051	Endogenous	Organic oxygen compounds	Cytoplasm (predicted from logP)	90.03169406	C3H6O3
m/z=90.0243	met28986	Dihydroxyacetone	HMDB0001882	Endogenous	Organic oxygen compounds	Cytoplasm (predicted from logP)	90.03169406	C3H6O3
m/z=90.0243	met58053	L-Lactic acid	HMDB0000190	Endogenous	Organic compounds	Cytoplasm|Extracellular|Mitochondria	90.03169406	C3H6O3
m/z=513.2683	met68977	Sulfolithocholylglycine	HMDB0002639	Endogenous|Food|Microbial	Organic compounds	Extracellular	513.27602342	C26H43NO7S
m/z=178.0484	met22726	Cysteinylglycine	HMDB0000078	Endogenous	Organic compounds	Cytoplasm|Extracellular	178.04121289	C5H10N2O3S
m/z=178.0484	met37622	2-Keto-3-deoxy-D-gluconic acid	HMDB0001353	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	178.04773805	C6H10O6
m/z=178.0484	met25296	L-Gulonolactone	HMDB0003466	Endogenous	Organic compounds	NULL	178.04773805	C6H10O6
m/z=178.0484	met10781	Melizame	HMDB0029684	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	178.04907546	C7H6N4O2
m/z=178.0484	met40436	Glycyl-Cysteine	HMDB0028838	Endogenous	Organic compounds	NULL	178.04121289	C5H10N2O3S
m/z=178.0484	met72798	Gluconolactone	HMDB0000150	Endogenous	Organic compounds	Cytoplasm	178.04773805	C6H10O6
m/z=178.0484	met45721	D-Arabino-hexos-2-ulose	HMDB0029932	Endogenous|Food	Organooxygen compounds	NULL	178.04773805	C6H10O6
m/z=178.0484	met9165	Cysteinyl-Glycine	HMDB0028775	Endogenous	Organic compounds	NULL	178.04121289	C5H10N2O3S
m/z=178.0484	met31389	Galactonolactone	HMDB0002541	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	178.04773805	C6H10O6
m/z=178.0484	met39615	3-Keto-b-D-galactose	HMDB0001385	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	178.04773805	C6H10O6
m/z=178.0484	met52656	Methylthiomethyl 2-methylbutanethiolate	HMDB0031714	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	178.04860645	C7H14OS2
m/z=151.0705	met50770	2-Phenylglycine	HMDB0002210	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	151.06332854	C8H9NO2
m/z=151.0705	met54038	Leukoaminochrome	HMDB0012992	Endogenous	Organic compounds	NULL	151.06332854	C8H9NO2
m/z=151.0705	met12187	Methyl 2-aminobenzoate	HMDB0029703	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	151.06332854	C8H9NO2
m/z=151.0705	met66100	2-(Methylamino)benzoic acid	HMDB0032609	Endogenous|Food	Benzenoids	Cytoplasm|Extracellular	151.06332854	C8H9NO2
m/z=151.0705	met55700	3alpha,4,7,7alpha-Tetrahydro-1H-isoindole-1,3(2H)-dione	HMDB0033903	Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	151.06332854	C8H9NO2
m/z=151.0705	met55939	Dopamine quinone	HMDB0012219	Drug metabolite|Endogenous	Organic compounds	Cytoplasm	151.06332854	C8H9NO2
m/z=138.0501	met36313	(+/-)-1-Phenylethylmercaptan	HMDB0032467	Endogenous|Food	Benzenoids	Membrane	138.05032101	C8H10S
m/z=138.0501	met22443	2,6-Dimethylbenzenethiol	HMDB0032019	Endogenous|Food	Organic compounds	Membrane	138.05032101	C8H10S
m/z=138.0501	met44497	2-Ethylbenzenethiol	HMDB0041361	Food	Organic compounds	Membrane	138.05032101	C8H10S
m/z=138.0501	met16482	(E)-Urocanic acid	HMDB0034174	Food	Organic compounds	Cytoplasm|Extracellular	138.04292745	C6H6N2O2
m/z=138.0501	met43882	Urocanic acid	HMDB0000301	Endogenous	Organoheterocyclic compounds	Cytoplasm (predicted from logP)	138.04292745	C6H6N2O2
m/z=138.0501	met20995	5-Oxo-2(5H)-isoxazolepropanenitrile	HMDB0031338	Endogenous|Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	138.04292745	C6H6N2O2
m/z=138.0501	met57103	Nicotinamide N-oxide	HMDB0002730	Endogenous	Organic compounds	NULL	138.04292745	C6H6N2O2
m/z=138.0501	met18480	Benzyl methyl sulfide	HMDB0031314	Endogenous|Food	Organic compounds	Membrane	138.05032101	C8H10S
m/z=138.0501	met22252	2-Phenylethanethiol	HMDB0032637	Endogenous|Food	Organic compounds	Membrane	138.05032101	C8H10S
m/z=138.0501	met27224	8-Hydroxypurine	HMDB0012182	Endogenous	Organic compounds	NULL	138.05416083	C5H6N4O
m/z=245.17	met7399	Valyl-Lysine	HMDB0029132	Endogenous	Organic compounds	NULL	245.17394162	C11H23N3O3
m/z=245.17	met12493	2-Methylbutyroylcarnitine	HMDB0000378	Endogenous|Food	Organic compounds	Extracellular|Membrane	245.16270823	C12H23NO4
m/z=245.17	met8244	Isovalerylcarnitine	HMDB0000688	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	245.16270823	C12H23NO4
m/z=245.17	met30602	Lysyl-Valine	HMDB0028964	Endogenous	Organic compounds	NULL	245.17394162	C11H23N3O3
m/z=245.17	met38209	Valerylcarnitine	HMDB0013128	Endogenous|Food	Organic compounds	Extracellular|Membrane	245.16270823	C12H23NO4
m/z=245.17	met37106	Pivaloylcarnitine	HMDB0041993	Endogenous	Organic compounds	NULL	245.16270823	C12H23NO4
m/z=815.5884	met46871	PC(P-18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	HMDB0011295	Endogenous|Food	Organic compounds	Extracellular|Membrane	815.5828905	C48H82NO7P
m/z=815.5884	met22927	PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(11Z))	HMDB0008753	Endogenous|Food	Organic compounds	Extracellular|Membrane	815.5828905	C48H82NO7P
m/z=815.5884	met21171	PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))	HMDB0008754	Endogenous|Food	Organic compounds	Extracellular|Membrane	815.5828905	C48H82NO7P
m/z=815.5884	met65611	PC(P-18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	HMDB0011328	Endogenous|Food	Organic compounds	Extracellular|Membrane	815.5828905	C48H82NO7P
m/z=891.6501	met41019	3-O-Sulfogalactosylceramide (d18:1/24:0)	HMDB0000024	Endogenous|Food	Organic compounds	Extracellular|Membrane|Lysosome	891.64693351	C48H93NO11S
m/z=185.1123	met13622	Ecgonine	HMDB0006548	Endogenous	Alkaloids and derivatives	Endoplasmic reticulum	185.10519335	C9H15NO3
m/z=185.1123	met65390	Pseudoecgonine	HMDB0006348	Endogenous	Alkaloids and derivatives	Endoplasmic reticulum	185.10519335	C9H15NO3
m/z=106.0192	met11672	Glyceric acid	HMDB0000139	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	106.02660868	C3H6O4
m/z=106.0192	met50265	L-Glyceric acid	HMDB0006372	Endogenous	Organic compounds	Cytoplasm|Extracellular	106.02660868	C3H6O4
m/z=106.0192	met30761	D-2,3-Dihydroxypropanoic acid	HMDB0031818	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	106.02660868	C3H6O4
m/z=202.0813	met3587	3-(1-Hydroxymethyl-1-propenyl)pentanedioic acid	HMDB0033092	Food	Organic compounds	Cytoplasm|Extracellular	202.08412356	C9H14O5
m/z=202.0813	met55379	2-Amino-1,6-dimethylfuro[3,2-e]imidazo[4,5-b]pyridine	HMDB0035175	Food	Organic compounds	Cytoplasm|Extracellular	202.08546096	C10H10N4O
m/z=202.0813	met8059	4-Heptenal diethyl acetal	HMDB0032306	Endogenous|Food	Organic acids and derivatives	Extracellular|Cytoplasm	202.08412356	C9H14O5
m/z=503.3082	met24259	LysoPE(0:0/20:3(11Z,14Z,17Z))	HMDB0011484	Endogenous|Food	Organic compounds	Extracellular|Membrane	503.30118934	C25H46NO7P
m/z=503.3082	met29712	LysoPE(20:3(5Z,8Z,11Z)/0:0)	HMDB0011515	Endogenous|Food	Organic compounds	Extracellular|Membrane	503.30118934	C25H46NO7P
m/z=503.3082	met16864	LysoPE(20:3(11Z,14Z,17Z)/0:0)	HMDB0011514	Endogenous|Food	Organic compounds	Extracellular|Membrane	503.30118934	C25H46NO7P
m/z=503.3082	met4417	LysoPE(0:0/20:3(5Z,8Z,11Z))	HMDB0011485	Endogenous|Food	Organic compounds	Extracellular|Membrane	503.30118934	C25H46NO7P
m/z=503.3082	met37763	LysoPE(20:3(8Z,11Z,14Z)/0:0)	HMDB0011516	Endogenous|Food	Organic compounds	Extracellular|Membrane	503.30118934	C25H46NO7P
m/z=503.3082	met68588	LysoPE(0:0/20:3(8Z,11Z,14Z))	HMDB0011486	Endogenous|Food	Organic compounds	Extracellular|Membrane	503.30118934	C25H46NO7P
m/z=130.0558	met12975	Acetoin acetate	HMDB0033698	Food	Organic compounds	Cytoplasm|Extracellular	130.06299419	C6H10O3
m/z=130.0558	met66471	Mevalonolactone	HMDB0006024	Endogenous	Organic compounds	NULL	130.06299419	C6H10O3
m/z=130.0558	met49515	Ethyl 3-oxobutanoate	HMDB0031218	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	130.06299419	C6H10O3
m/z=130.0558	met48339	Ethyl acetoacetate	HMDB0031216	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	130.06299419	C6H10O3
m/z=130.0558	met8628	5-Ethoxy-4,5-dihydro-2(3H)furanone	HMDB0031214	Endogenous|Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	130.06299419	C6H10O3
m/z=130.0558	met57985	2-Ketohexanoic acid	HMDB0001864	Endogenous	Organic compounds	NULL	130.06299419	C6H10O3
m/z=130.0558	met43585	Ketoleucine	HMDB0000695	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane|Mitochondria	130.06299419	C6H10O3
m/z=130.0558	met72791	Adipate semialdehyde	HMDB0012882	Endogenous|Food	Organic compounds	Extracellular|Membrane	130.06299419	C6H10O3
m/z=130.0558	met32648	2-Methyl-3-ketovaleric acid	HMDB0000408	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	130.06299419	C6H10O3
m/z=130.0558	met19450	3-Oxohexanoic acid	HMDB0010717	Endogenous	Organic compounds	NULL	130.06299419	C6H10O3
m/z=130.0558	met58924	Sherry lactone	HMDB0033286	Food	Organic compounds	Cytoplasm|Extracellular	130.06299419	C6H10O3
m/z=130.0558	met14637	3-Methyl-2-oxovaleric acid	HMDB0000491	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	130.06299419	C6H10O3
m/z=130.0558	met690	Methyl levulinate	HMDB0041602	Food	Organic acids and derivatives	Cytoplasm|Extracellular	130.06299418	C6H10O3
m/z=130.0558	met10360	(4S,6S)-3,4,5,6-Tetrahydro-4-hydroxy-6-methyl-2H-pyran-2-one	HMDB0033302	Food	Organic compounds	Cytoplasm|Extracellular	130.06299419	C6H10O3
m/z=390.2702	met70388	7-Hydroxy-3-oxocholanoic acid	HMDB0000460	Endogenous|Food	Lipids and lipid-like molecules	Extracellular	390.2770097	C24H38O4
m/z=390.2702	met65375	7a-Hydroxy-3-oxo-5b-cholanoic acid	HMDB0000503	Endogenous|Food	Lipids and lipid-like molecules	Extracellular	390.2770097	C24H38O4
m/z=390.2702	met72154	Nutriacholic acid	HMDB0000467	Endogenous|Food	Lipids and lipid-like molecules	Extracellular	390.2770097	C24H38O4
m/z=390.2702	met27842	12-Ketodeoxycholic acid	HMDB0000328	Endogenous|Food	Lipids and lipid-like molecules	Extracellular	390.2770097	C24H38O4
m/z=390.2702	met30566	D8-Merulinic acid A	HMDB0041454	Food	Organic compounds	Membrane	390.2770097	C24H38O4
m/z=390.2702	met67019	9-Carboxy-alpha-chromanol	HMDB0012866	Endogenous	Organic compounds	Membrane (predicted from logP)	390.2770097	C24H38O4
m/z=775.5553	met41206	PE(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(9Z))	HMDB0009645	Endogenous|Food	Organic compounds	Extracellular|Membrane	775.55159037	C45H78NO7P
m/z=775.5553	met66868	PE(P-18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))	HMDB0011425	Endogenous|Food	Organic compounds	Extracellular|Membrane	775.55159037	C45H78NO7P
m/z=775.5553	met4470	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)	HMDB0009709	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	775.55159037	C45H78NO7P
m/z=775.5553	met64675	PE(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	HMDB0011394	Endogenous|Food	Organic compounds	Extracellular|Membrane	775.55159037	C45H78NO7P
m/z=775.5553	met60936	PE(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(11Z))	HMDB0009644	Endogenous|Food	Organic compounds	Extracellular|Membrane	775.55159037	C45H78NO7P
m/z=775.5553	met67466	PE(P-18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))	HMDB0011459	Endogenous|Food	Organic compounds	Extracellular|Membrane	775.55159037	C45H78NO7P
m/z=775.5553	met58160	PE(22:5(7Z,10Z,13Z,16Z,19Z)/dm18:1(9Z))	HMDB0009678	Endogenous|Food	Organic compounds	Extracellular|Membrane	775.55159037	C45H78NO7P
m/z=775.5553	met561	PE(P-18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))	HMDB0011426	Endogenous|Food	Organic compounds	Extracellular|Membrane	775.55159037	C45H78NO7P
m/z=775.5553	met44182	PE(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(11Z))	HMDB0009677	Endogenous|Food	Organic compounds	Extracellular|Membrane	775.55159037	C45H78NO7P
m/z=775.5553	met54624	PE(P-18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))	HMDB0011458	Endogenous|Food	Organic compounds	Extracellular|Membrane	775.55159037	C45H78NO7P
m/z=749.5404	met51076	PE(P-18:1(11Z)/20:4(5Z,8Z,11Z,14Z))	HMDB0011418	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=749.5404	met67493	PE(20:4(5Z,8Z,11Z,14Z)/P-18:1(11Z))	HMDB0009413	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=749.5404	met70861	PE(P-18:1(11Z)/20:4(8Z,11Z,14Z,17Z))	HMDB0011419	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=749.5404	met51765	PE(P-18:1(9Z)/20:4(5Z,8Z,11Z,14Z))	HMDB0011451	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=749.5404	met26761	PE(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))	HMDB0011387	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=749.5404	met13111	PE(20:4(8Z,11Z,14Z,17Z)/P-18:1(11Z))	HMDB0009446	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=749.5404	met13994	PE(22:5(7Z,10Z,13Z,16Z,19Z)/P-16:0)	HMDB0009675	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=749.5404	met38000	PE(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:0)	HMDB0009478	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=749.5404	met40624	PE(22:5(4Z,7Z,10Z,13Z,16Z)/P-16:0)	HMDB0009642	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=749.5404	met25011	PE(P-18:1(9Z)/20:4(8Z,11Z,14Z,17Z))	HMDB0011452	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=749.5404	met3246	PE(P-16:0/22:5(4Z,7Z,10Z,13Z,16Z))	HMDB0011359	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=749.5404	met32929	PE(20:4(8Z,11Z,14Z,17Z)/P-18:1(9Z))	HMDB0009447	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=749.5404	met65733	PE(20:4(5Z,8Z,11Z,14Z)/P-18:1(9Z))	HMDB0009414	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=749.5404	met47681	PE(P-16:0/22:5(7Z,10Z,13Z,16Z,19Z))	HMDB0011360	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=737.5403	met62127	PC(P-16:0/18:4(6Z,9Z,12Z,15Z))	HMDB0011214	Endogenous|Food	Organic compounds	Extracellular|Membrane	737.5359403	C42H76NO7P
m/z=737.5403	met24982	PC(18:4(6Z,9Z,12Z,15Z)/P-16:0)	HMDB0008258	Endogenous|Food	NULL	Extracellular|Membrane	737.5359403	C42H76NO7P
m/z=763.557	met70347	PC(P-18:1(9Z)/18:4(6Z,9Z,12Z,15Z))	HMDB0011313	Endogenous|Food	Organic compounds	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=763.557	met37076	PC(P-18:1(11Z)/18:4(6Z,9Z,12Z,15Z))	HMDB0011280	Endogenous|Food	Organic compounds	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=763.557	met1542	PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-16:0)	HMDB0008521	Endogenous|Food	Organic compounds	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=763.557	met46976	PC(18:4(6Z,9Z,12Z,15Z)/P-18:1(11Z))	HMDB0008260	Endogenous|Food	Organic compounds	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=763.557	met13402	PC(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))	HMDB0011222	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=763.557	met73652	PC(18:4(6Z,9Z,12Z,15Z)/P-18:1(9Z))	HMDB0008261	Endogenous|Food	Organic compounds	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=849.6644	met43740	PC(o-22:1(13Z)/20:4(8Z,11Z,14Z,17Z))	HMDB0013451	Endogenous|Food	Organic compounds	Extracellular|Membrane	849.66114081	C50H92NO7P
m/z=763.5577	met70347	PC(P-18:1(9Z)/18:4(6Z,9Z,12Z,15Z))	HMDB0011313	Endogenous|Food	Organic compounds	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=763.5577	met37076	PC(P-18:1(11Z)/18:4(6Z,9Z,12Z,15Z))	HMDB0011280	Endogenous|Food	Organic compounds	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=763.5577	met1542	PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-16:0)	HMDB0008521	Endogenous|Food	Organic compounds	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=763.5577	met46976	PC(18:4(6Z,9Z,12Z,15Z)/P-18:1(11Z))	HMDB0008260	Endogenous|Food	Organic compounds	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=763.5577	met13402	PC(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))	HMDB0011222	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=763.5577	met73652	PC(18:4(6Z,9Z,12Z,15Z)/P-18:1(9Z))	HMDB0008261	Endogenous|Food	Organic compounds	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=805.5663	met30657	PC(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))	HMDB0008467	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met24229	PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))	HMDB0008148	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met889	PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))	HMDB0008147	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met23632	PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:1(9Z))	HMDB0008693	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met72359	PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))	HMDB0008434	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met27086	PC(20:3(8Z,11Z,14Z)/18:3(6Z,9Z,12Z))	HMDB0008403	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met55493	PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))	HMDB0008371	Endogenous|Food	NULL	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met51003	PC(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))	HMDB0008212	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met12424	PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z))	HMDB0008660	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met70320	PC(18:3(6Z,9Z,12Z)/20:3(5Z,8Z,11Z))	HMDB0008178	Endogenous|Food	NULL	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met26515	PC(20:3(8Z,11Z,14Z)/18:3(9Z,12Z,15Z))	HMDB0008404	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met39127	PC(18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))	HMDB0008243	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met21134	PC(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))	HMDB0008022	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met5331	PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))	HMDB0008024	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met50299	PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	HMDB0007991	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met72955	PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(9Z))	HMDB0008499	Endogenous|Food	NULL	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met12419	PC(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))	HMDB0008116	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met48529	PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(11Z))	HMDB0008498	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met73542	PC(20:2(11Z,14Z)/18:4(6Z,9Z,12Z,15Z))	HMDB0008339	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met21949	PC(18:3(9Z,12Z,15Z)/20:3(5Z,8Z,11Z))	HMDB0008211	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met50601	PC(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))	HMDB0008179	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
m/z=805.5663	met65912	PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))	HMDB0008370	Endogenous|Food	Organic compounds	Extracellular|Membrane	805.56215505	C46H80NO8P
