"true_name","from","to","Correlation","p_value","fdr"
"Dichloronaphthalene","PM1704","genus_Serendipita",-0.917937370956898,0.000179530217788986,3.74586244226945
"2-Amino-3-methylimidazo(4,5-f)quinoline","PM1768","genus_Tricholoma",-0.901908385135578,0.000359290454388358,3.44455432095714
"2-Amino-3-methylimidazo(4,5-f)quinoline","PM1768","genus_Cylindrobasidium",-0.938720972283969,5.72698665143597e-05,3.94104383348294
"Pyrene","PM1810","genus_Tricholoma",-0.926450109901172,0.000117071242177328,3.93154977356589
"p-Hydroxy-meta-chlorophenylpiperazine","PM1880","genus_Crepidotus",-0.901908385135578,0.000359290454388358,3.44455432095714
"Thiofanox","PM1944","genus_Tricholoma",-0.938720972283969,5.72698665143597e-05,3.94104383348294
"Thiofanox","PM1944","genus_Piriformospora",-0.926450109901172,0.000117071242177328,3.93154977356589
"Carbofuran","PM1971","genus_Cylindrobasidium",-0.938720972283969,5.72698665143597e-05,4.24207382914692
"Prometon","PM1990","genus_Tricholoma",-0.926450109901172,0.000117071242177328,3.63051977790191
"Prometon","PM1990","genus_Piriformospora",-0.901908385135578,0.000359290454388358,3.44455432095714
"Naproxen","PM2019","genus_Tricholoma",-0.926450109901172,0.000117071242177328,3.93154977356589
"3-Hydroxycarbofuran","PM2056","genus_Hirsutella",-0.944211153215891,3.96088341747178e-05,4.40220794019955
"Diethofencarb","PM2201","genus_Cylindrobasidium",-0.950991834666766,2.37836846477824e-05,4.62372086215478
"Butylated triphenyl phosphate","PM2342","genus_Schizophyllum",-0.927272727272727,0.000130162394465273,3.76057573411525
"Butylated triphenyl phosphate","PM2342","genus_Sclerotinia",-0.938720972283969,5.72698665143597e-05,3.76057573411525
"Butylated triphenyl phosphate","PM2342","genus_Galerina",-0.914179247518375,0.000213749256243363,3.67009538775752
"Butylated triphenyl phosphate","PM2342","genus_Athelia",-0.924506702884387,0.00012963268591554,3.76057573411525
"1,2,3,7,8-Pentachlorodibenzo-P-dioxin","PM2493","genus_Tricholoma",-0.901908385135578,0.000359290454388358,3.44455432095714
"Amoxicillin","PM2541","genus_Taphrina",-0.924506702884387,0.00012963268591554,3.88728548054117
"Ethion","PM2619","genus_Rutstroemia",-0.931705045226276,8.75967735364386e-05,4.0575118899635
"1,2,3,7,8,9-Hexachlorodibenzo-P-dioxin","PM2632","genus_Erysiphe",-0.926450109901172,0.000117071242177328,3.93154977356589
"Bis(2-ethylhexyl) phthalate","PM2644","genus_Cladosporium",-0.903030303030303,0.000880224994754135,3.05540630342852
"Perfluorohexanesulfonic acid (PFHxS)","PM2688","genus_Amorphotheca",0.903030303030303,0.000880224994754143,3.05540630342852
"Azoxystrobin","PM2702","genus_Tricholoma",-0.914179247518375,0.000213749256243363,3.67009538775752
"Diisononyl phthalate","PM2756","genus_Sanghuangporus",-0.903030303030303,0.000880224994754135,3.05540630342852
"Diisononyl phthalate","PM2756","genus_Botryobasidium",-0.903030303030303,0.000880224994754135,3.05540630342852
"Diisononyl phthalate","PM2756","genus_Schizophyllum",-0.927272727272727,0.000130162394465273,3.58448447505957
"Diisononyl phthalate","PM2756","genus_Tricholoma",-0.950991834666766,2.37836846477824e-05,3.84556961177114
"Diisononyl phthalate","PM2756","genus_Serendipita",-0.911858315520097,0.000237143637005065,3.44889726471064
"Diisononyl phthalate","PM2756","genus_Piriformospora",-0.926450109901172,0.000117071242177328,3.58448447505957
"Budesonide","PM2804","genus_Felis",-0.906692829247047,0.000295911555059411,3.52883807572967
"Budesonide","PM2804","genus_Termitomyces",-0.914179247518375,0.000213749256243363,3.52883807572967
"Fusarin C","PM2807","genus_Cylindrobasidium",-0.905226481588638,0.000314382593472935,3.50254150769601
"Perfluorononanoic acid (PFNA)","PM2871","genus_Quercus",-0.919198937236662,0.00016900586363868,3.77209822732866
