ID,Name,Classification,Synonyms,Level,Description,CAS Number,PubChem ID,ChEBI ID,FooDB ID,HMDB ID,SMILES,Formula,InChI,InChIKey,Average mass,Mono. mass,No. of Publications,No. of Concentration values,No. of Reproducibility values,No. of Correlation values,No. of Metabolomic associations,No. of Microbiota associations,No. of Cancer associations
22,Hesperetin,4'-O-methylated flavonoids,,Single,,520-33-2,72281,28230,FDB002677,HMDB0005782,COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1,C16H14O6,"InChI=1S/C16H14O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-6,14,17-19H,7H2,1H3/t14-/m0/s1",AIONOLUJZLIMTK-AWEZNQCLSA-N,302.2788,302.07903818,6,8,1,47,0,0,0
27,Flavanones,Flavanones,,Combined,,,,,,,,,,,,,3,4,0,26,0,0,0
44,Isorhamnetin,Flavonols,,Single,Can coelute with tamarixetin.,480-19-3,5281654,6052,FDB000604,HMDB0002655,COC1=C(O)C=CC(=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1,C16H12O7,"InChI=1S/C16H12O7/c1-22-11-4-7(2-3-9(11)18)16-15(21)14(20)13-10(19)5-8(17)6-12(13)23-16/h2-6,17-19,21H,1H3",IZQSVPBOUDKVDZ-UHFFFAOYSA-N,316.2623,316.058302738,6,4,1,34,0,0,0
2,Quercetin,Flavonols,,Single,,117-39-5,5280343,16243,FDB011904,HMDB0005794,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C=C2)=C1,C15H10O7,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,302.2357,302.042652674,15,8,1,56,0,5,1
49,Flavonoids,Flavonoids,,Combined,,,,,,,,,,,,,6,9,0,25,0,0,0
26,Flavonols,Flavonols,,Combined,,,,,,,,,,,,,5,2,0,26,0,0,2
20,Kaempferol,Flavonols,,Single,,520-18-3,5280863,28499,FDB000633,HMDB0005801,OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O,C15H10O6,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,286.2363,286.047738052,11,7,1,79,0,2,1
121,Eriodictyol,Flavanones,,Single,,552-58-9,440735,28412,FDB000688,HMDB0005810,OC1=CC2=C(C(=O)C[C@H](O2)C2=CC(O)=C(O)C=C2)C(O)=C1,C15H12O6,"InChI=1S/C15H12O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-5,13,16-19H,6H2/t13-/m0/s1",SBHXYTNGIZCORC-ZDUSSCGKSA-N,288.2522,288.063388116,3,5,0,9,0,0,0
21,Naringenin,Flavanones,(S)-Naringenin,Single,,480-41-1,439246,17846,FDB000678,HMDB0002670,[H][C@]1(CC(=O)C2=C(O1)C=C(O)C=C2O)C1=CC=C(O)C=C1,C15H12O5,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1",FTVWIRXFELQLPI-ZDUSSCGKSA-N,272.2528,272.068473494,8,9,0,40,0,1,0
604,Tamarixetin,4'-O-methylated flavonoids,,Single,Can coelute with isorhamnetin.,603-61-2,5281699,67492,FDB016383,HMDB0002937,COC1=C(O)C=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O,C16H12O7,"InChI=1S/C16H12O7/c1-22-11-3-2-7(4-9(11)18)16-15(21)14(20)13-10(19)5-8(17)6-12(13)23-16/h2-6,17-19,21H,1H3",FPLMIPQZHHQWHN-UHFFFAOYSA-N,316.2623,316.058302738,1,0,0,0,0,0,0
46,Apigenin,Flavones,,Single,,520-36-5,5280443,18388,FDB002798,HMDB0002124,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1,C15H10O5,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,270.2369,270.05282343,6,4,0,13,0,2,0
109,Nitrogen,Other non-metal nitrides,,Single,Nitrogen can be measured in urine with the Kjeldahl method or by spectrophotometric methods (enzymic tests). Total urinary nitrogen is calculated based on urea urinary nitrogen quantified with these methods.,17778-88-0,,29351,,,[N],N,InChI=1S/N,QJGQUHMNIGDVPM-UHFFFAOYSA-N,14.007,14.003074004,11,11,0,64,0,0,0
110,Hippuric acid,Hippuric acids,N-Benzoylglycine; Hippurate,Single,,495-69-2,464,18089,FDB001819,HMDB0000714,OC(=O)CNC(=O)C1=CC=CC=C1,C9H9NO3,"InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)",QIAFMBKCNZACKA-UHFFFAOYSA-N,179.1727,179.058243159,26,10,0,4,5,16,0
108,Potassium,Homogeneous alkali metal compounds,,Single,Potassium is an alkali metal with valence 1. Potassium (K+) is the main cationic osmolyte within cells.,24203-36-9,813,29103,FDB003521,HMDB0000586,[K+],K,InChI=1S/K/q+1,NPYPAHLBTDXSSS-UHFFFAOYSA-N,39.0983,38.963706861,7,10,0,41,0,0,0
34,Secoisolariciresinol,Dibenzylbutanediol lignans,(-)-Secoisolariciresinol,Single,,29388-59-8,65373,65004,FDB021314,HMDB0013692,COC1=CC(CC(CO)C(CO)CC2=CC(OC)=C(O)C=C2)=CC=C1O,C20H26O6,"InChI=1S/C20H26O6/c1-25-19-9-13(3-5-17(19)23)7-15(11-21)16(12-22)8-14-4-6-18(24)20(10-14)26-2/h3-6,9-10,15-16,21-24H,7-8,11-12H2,1-2H3",PUETUDUXMCLALY-UHFFFAOYSA-N,362.4168,362.172938564,5,1,0,0,0,0,0
117,Phytoestrogens,Organic compounds,,Combined,,,,,,,,,,,,,2,4,0,2,0,0,0
155,Thiamin,Thiamines,Vitamin B1; Thiamine,Single,,70-16-6,1130,18385,FDB008424,HMDB0000235,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,C12H17N4OS,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1",JZRWCGZRTZMZEH-UHFFFAOYSA-N,265.355,265.112306876,7,4,5,27,0,4,0
156,Riboflavin,Flavins,Vitamin B2; Riboflavine,Single,"Riboflavin, also known as vitamin B2, is a vitamin found in food and used as a dietary supplement.",83-88-5,6759,17015,FDB012160,HMDB0000244,CC1=CC2=C(C=C1C)N(C[C@@H](O)[C@@H](O)[C@@H](O)CO)C1=NC(=O)NC(=O)C1=N2,C17H20N4O6,"InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/t11-,12+,14-/m1/s1",AUNGANRZJHBGPY-MBNYWOFBSA-N,376.369,376.13828438,27,13,4,18,3,3,15
157,4-Pyridoxic acid,Pyridinecarboxylic acids,Pyridoxic acid; Pyridoxate,Single,Metabolite of vitamin B6. Usually measured in urine.,82-82-6,6723,17405,FDB021874,HMDB0000017,CC1=NC=C(CO)C(C(O)=O)=C1O,C8H9NO4,"InChI=1S/C8H9NO4/c1-4-7(11)6(8(12)13)5(3-10)2-9-4/h2,10-11H,3H2,1H3,(H,12,13)",HXACOUQIXZGNBF-UHFFFAOYSA-N,183.1614,183.053157781,19,10,2,19,4,2,3
115,Vitamin B12,Cobalamin derivatives,Cobalamin; Cobalamins,Combined,Includes all vitamers with vitamin B12 activity. Complexe mixture of several compounds.,,,,,,,,,,,,53,43,8,54,0,9,31
158,Nicotinamide metabolites,Nicotinamides,,Combined,,,,,,,,,,,,,4,3,2,30,0,0,0
154,Pantothenic acid,Secondary alcohols,Vitamin B5; (R)-Pantothenic acid; Pantothenate,Single,Amide between pantoic acid and beta-alanine. An essential nutrient for many animals.,79-83-4,6613,46905,FDB008322,HMDB0000210,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,C9H17NO5,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/t7-/m0/s1",GHOKWGTUZJEAQD-ZETCQYMHSA-N,219.235,219.110672659,12,5,5,18,3,1,0
489,Folates,Pterins and derivatives,"Folic acid; Folate; Total folate; Folates, natural and synthetic; Folates, natural and added",Combined,Includes natural folate (foods) and added folic acid (foods and/or supplements).,,,,,,,,,,,,69,65,8,156,0,6,43
161,Ascorbic acid metabolites,Organic compounds,Vitamin C metabolites,Combined,,,,,,,,,,,,,3,3,0,15,0,0,0
605,Nicotinamide,Nicotinamides,Niacinamide; Nicotinic acid amide; Niacin,Single,"This item is used for ""niacin"" when niacin only includes ""nicotinamide"" and neither ""nicotinic acid"" nor ""niacin equivalents"".",98-92-0,936,17154,FDB012485,HMDB0001406,NC(=O)C1=CC=CN=C1,C6H6N2O,"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)",DFPAKSUCGFBDDF-UHFFFAOYSA-N,122.1246,122.048012824,7,1,2,0,0,1,0
606,N-Methyl-2-pyridone-5-carboxamide,Nicotinamides,N1-Methyl-2-pyridone-5-carboxamide; N-methyl-6-pyridone-3-carboxamide,Single,Metabolite of nicotinamide.,701-44-0,69698,27410,FDB023330,HMDB0004193,CN1C=C(C=CC1=O)C(N)=O,C7H8N2O2,"InChI=1S/C7H8N2O2/c1-9-4-5(7(8)11)2-3-6(9)10/h2-4H,1H3,(H2,8,11)",JLQSXXWTCJPCBC-UHFFFAOYSA-N,152.1506,152.05857751,3,0,0,0,0,0,0
607,N-Methyl-4-pyridone-3-carboxamide,Nicotinamides,N1-Methyl-4-pyridone-3-carboxamide,Single,Metabolite of nicotinamide.,769-49-3,440810,27838,FDB023331,HMDB0004194,CN1C=CC(=O)C(=C1)C(N)=O,C7H8N2O2,"InChI=1S/C7H8N2O2/c1-9-3-2-6(10)5(4-9)7(8)11/h2-4H,1H3,(H2,8,11)",KTLRWTOPTKGYQY-UHFFFAOYSA-N,152.1506,152.05857751,3,0,0,0,0,0,0
608,N-Methylnicotinamide,Nicotinamides,N1-Methylnicotinamide,Single,Metabolite of nicotinamide.,114-33-0,64950,64399,FDB023115,HMDB0003152,CNC(=O)C1=CN=CC=C1,C7H8N2O,"InChI=1S/C7H8N2O/c1-8-7(10)6-3-2-4-9-5-6/h2-5H,1H3,(H,8,10)",ZYVXHFWBYUDDBM-UHFFFAOYSA-N,136.1512,136.063662888,3,0,0,0,0,0,0
236,Ascorbic acid,Butenolides,"Ascorbic acid, reduced; Vitamin C; L-Ascorbic acid; Ascorbate",Single,Reduced form of ascorbic acid.,50-81-7,54670067,29073,FDB001224,HMDB0000044,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,C6H8O6,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5+/m0/s1",CIWBSHSKHKDKBQ-JLAZNSOCSA-N,176.1241,176.032087988,20,20,8,52,2,1,3
590,L-Dehydroascorbic acid,Gamma butyrolactones,"Ascorbic acid, oxidized; DHAA; Dehydroascorbic acid",Single,Oxidized form of ascorbic acid.,490-83-5,440667,27956,FDB021459,HMDB0001264,[H][C@](O)(CO)[C@@]1([H])OC(=O)C(=O)C1=O,C6H6O6,"InChI=1S/C6H6O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-8H,1H2/t2-,5+/m0/s1",SBJKKFFYIZUCET-JLAZNSOCSA-N,174.1082,174.016437924,5,1,1,1,0,0,0
611,"2,3-Diketogulonic acid",Sugar acids and derivatives,"2,3-Diketogluconic acid?",Single,Metabolite of ascorbic acid. Measured in urine.,3409-57-2,440390,15622,FDB023950,HMDB0006511,OC[C@H](O)[C@@H](O)C(=O)C(=O)C(O)=O,C6H8O7,"InChI=1S/C6H8O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-3,7-9H,1H2,(H,12,13)/t2-,3+/m0/s1",GJQWCDSAOUMKSE-STHAYSLISA-N,192.1235,192.02700261,3,0,0,0,0,0,0
248,Sodium,Homogeneous alkali metal compounds,,Single,Sodium is an alkali metal with valence 1. Sodium (Na+) is the main cationic osmolyte in blood and extracellular fluid.,17341-25-2,923,29101,FDB003523,HMDB0000588,[Na+],Na,InChI=1S/Na/q+1,FKNQFGJONOIPTF-UHFFFAOYSA-N,22.9898,22.989769675,3,5,0,33,0,0,0
249,Urea,Ureas,Carbamide,Single,Biomarker of protein intake. Urea is the main nitrogen-containing substance in the urine of mammals.,57-13-6,1176,16199,FDB012174,HMDB0000294,NC(N)=O,CH4N2O,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",XSQUKJJJFZCRTK-UHFFFAOYSA-N,60.0553,60.03236276,4,2,0,2,0,1,0
843,Tamarixetin/Isorhamnetin,Flavonoids,,Combined,This item is used when tamarixetin and isorhamnetin coelute.,,,,,,,,,,,,1,1,0,3,0,0,0
91,"3,5-Dihydroxybenzoic acid",Hydroxybenzoic acid derivatives,"DHBA; 3,5-DHBA",Single,,99-10-5,7424,39912,FDB000848,HMDB0013677,OC(=O)C1=CC(O)=CC(O)=C1,C7H6O4,"InChI=1S/C7H6O4/c8-5-1-4(7(10)11)2-6(9)3-5/h1-3,8-9H,(H,10,11)",UYEMGAFJOZZIFP-UHFFFAOYSA-N,154.121,154.026608673,9,12,3,168,0,1,0
92,"3,5-DHPPA",Phenylpropanoic acids,"DHPPA; 3,5-Dihydroxyphenylpropanoic acid; 3-(3,5-Dihydroxyphenyl)-1-propanoic acid",Single,Metabolite of alkylresorcinol.,26539-01-5,161525,,,,OC(=O)CCC1=CC(O)=CC(O)=C1,C9H10O4,"InChI=1S/C9H10O4/c10-7-3-6(1-2-9(12)13)4-8(11)5-7/h3-5,10-11H,1-2H2,(H,12,13)",ITPFIKQWNDGDLG-UHFFFAOYSA-N,182.175,182.057908802,6,12,3,193,0,0,0
368,Dithiocarbamates,Dithiocarbamic acids and derivatives,Dithiocarbamate,Combined,Biomarker of cruciferous vegetable intake. Dithiocarbamate is obtained from conversion of isothiocyanates and measured after a cyclocondensation reaction.,,,,,,,,,,,,1,1,0,4,0,0,0
373,Iodine,Homogeneous halogens,,Single,"Iodine is a relatively volatile halogen with valences 1 through 7. Iodine typically is found and functions in its ionic form, iodide (I-).",20461-54-5,30165,16382,FDB028881,HMDB0012238,[I-],I,InChI=1S/HI/h1H/p-1,XMBWDFGMSWQBCA-UHFFFAOYSA-M,126.9045,126.90446842,4,12,0,12,0,0,0
393,5-Caffeoylquinic acid,Quinic acids and derivatives,"Chlorogenic acid; 5-O-(3,4-Dihydroxycinnamoyl)-L-quinic acid; 3-Caffeoylquinic acid [Old IUPAC, before 1976]; CAS:202650-88-2; KEGG:C00852",Single,There is a confusion between two IUPAC nomenclatures. 5-CQA and 3-CQA should respectively correspond to chlorogenic acid and neochlorogenic acid. However many databases and publications still use the former nomenclature.,327-97-9,1794427,16112,FDB002582,HMDB0003164,O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\C2=CC(O)=C(O)C=C2)[C@@H]1O)C(O)=O,C16H18O9,"InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1",CWVRJTMFETXNAD-JUHZACGLSA-N,354.3087,354.095082174,2,2,0,23,1,0,0
394,Caffeic acid,Hydroxycinnamic acids,"3,4-Dihydroxycinnamic acid; trans-Caffeic acid",Single,,331-39-5,689043,16433,FDB002558,HMDB0001964,OC(=O)\C=C/C1=CC(O)=C(O)C=C1,C9H8O4,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2-",QAIPRVGONGVQAS-RQOWECAXSA-N,180.1574,180.042258744,16,5,1,44,0,11,0
395,m-Coumaric acid,Hydroxycinnamic acids,3-Hydroxycinnamic acid; m-Hydroxycinnamic acid; 3-Hydroxycinnamate,Single,,588-30-7,637541,47925,FDB002590,HMDB0001713,OC(=O)\C=C\C1=CC=CC(O)=C1,C9H8O3,"InChI=1S/C9H8O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-6,10H,(H,11,12)/b5-4+",KKSDGJDHHZEWEP-SNAWJCMRSA-N,164.158,164.047344122,4,3,0,36,0,3,0
396,Gallic acid,Gallic acids,,Single,,149-91-7,370,30778,FDB000662,HMDB0005807,OC(=O)C1=CC(O)=C(O)C(O)=C1,C7H6O5,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,170.12,170.021523293,6,5,0,24,0,14,0
397,4-O-Methylgallic acid,Gallic acid and derivatives,,Single,,4319-02-2,78016,88738,FDB001960,HMDB0013198,COC1=C(O)C=C(C=C1O)C(O)=O,C8H8O5,"InChI=1S/C8H8O5/c1-13-7-5(9)2-4(8(11)12)3-6(7)10/h2-3,9-10H,1H3,(H,11,12)",UBXDWYFLYYJQFR-UHFFFAOYSA-N,184.1461,184.037173366,3,6,0,28,2,0,0
401,Acrylamide metabolites,N-acyl-alpha amino acids,MA-AA + MA-GA3,Combined,,,,,,,,,,,,,1,1,0,4,0,0,0
659,N-Acetyl-S-(3-amino-2-hydroxy-3-oxopropyl)cysteine,N-acyl-alpha amino acids,MA-GA3,Single,Metabolite of acrylamide.,,,,,,CC(=O)N[C@H](CSCC(O)C(N)=O)C(O)=O,C8H14N2O5S,"InChI=1S/C8H14N2O5S/c1-4(11)10-5(8(14)15)2-16-3-6(12)7(9)13/h5-6,12H,2-3H2,1H3,(H2,9,13)(H,10,11)(H,14,15)/t5-,6?/m1/s1",GFVUOIIZUCFXSF-LWOQYNTDSA-N,250.27,250.062342733,1,0,0,0,0,0,0
658,N-Acetyl-S-(3-amino-3-oxopropyl)cysteine,N-acyl-alpha amino acids,MA-AA; AAMA,Single,Metabolite of acrylamide.,81690-92-8,71312850,,,,CC(=O)N[C@H](CSCCC(N)=O)C(O)=O,C8H14N2O4S,"InChI=1S/C8H14N2O4S/c1-5(11)10-6(8(13)14)4-15-3-2-7(9)12/h6H,2-4H2,1H3,(H2,9,12)(H,10,11)(H,13,14)/t6-/m1/s1",GGBCHNJZQQEQRX-ZCFIWIBFSA-N,234.27,234.067428113,1,0,0,0,0,0,0
456,Isoferulic acid,Coumaric acids and derivatives,,Single,,537-73-5,54706233,27794,FDB002700,HMDB0000955,COC1=C([O-])C=C(\C=C\C(O)=O)C=C1,C10H9O4,"InChI=1S/C10H10O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/p-1/b5-3+",QURCVMIEKCOAJU-HWKANZROSA-M,193.179,193.05063235,1,2,0,2,0,0,0
530,5-Hydroxytryptophol (5-HTOL) / 5-Hydroxyindole-3-acetic acid (5-HIAA),Indoles and derivatives,,Ratio,Metabolites of serotonin. Biomarker of recent ethanol intake.,,,,,,,,,,,,1,3,0,1,0,0,0
35,Matairesinol,Dibenzylbutyrolactone lignans,(-)-Matairesinol,Single,,580-72-3,119205,6698,FDB014417,HMDB0035698,[H][C@]1(CC2=CC=C(O)C(OC)=C2)COC(=O)[C@]1([H])CC1=CC=C(O)C(OC)=C1,C20H22O6,"InChI=1S/C20H22O6/c1-24-18-9-12(3-5-16(18)21)7-14-11-26-20(23)15(14)8-13-4-6-17(22)19(10-13)25-2/h3-6,9-10,14-15,21-22H,7-8,11H2,1-2H3/t14-,15+/m0/s1",MATGKVZWFZHCLI-LSDHHAIUSA-N,358.3851,358.141638436,5,3,0,0,0,0,0
580,Phosphorus,Homogeneous other non-metal compounds,,Single,Phosphorus has 3 or 5 valences with oxidation states between -3 and +5. Phosphate (PO4 3-) - also called inorganic phosphate (Pi) - is the form utilized by humans.,7723-14-0,24404,28659,FDB003520,HMDB0001315,[P],P,InChI=1S/P,OAICVXFJPJFONN-UHFFFAOYSA-N,30.9738,30.973761512,1,1,0,2,0,0,0
599,Taurine,Organosulfonic acids,L-Taurine; 2-Aminoethanesulfonic acid,Single,"Derivative of cysteine. Widely distributed in animal tissues and major bile constituent. Often called an amino acid, it is not an amino acid.",107-35-7,1123,15891,FDB003191,HMDB0000251,NCCS(O)(=O)=O,C2H7NO3S,"InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)",XOAAWQZATWQOTB-UHFFFAOYSA-N,125.147,125.014663785,8,10,1,6,2,3,0
538,1-Methylhistidine,Histidine and derivatives,1-Methyl-histidine; L-1-Methylhistidine,Single,,332-80-9,92105,50599,FDB012119,HMDB0000001,CN1C=NC(C[C@H](N)C(O)=O)=C1,C7H11N3O2,"InChI=1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1",BRMWTNUJHUMWMS-LURJTMIESA-N,169.1811,169.085126611,3,13,0,36,0,0,0
539,3-Methylhistidine,Histidine and derivatives,3-Methyl-histidine; 3-Methyl-L-histidine,Single,,368-16-1,64969,27596,FDB021798,HMDB0000479,CN1C=NC=C1C[C@H](N)C(O)=O,C7H11N3O2,"InChI=1S/C7H11N3O2/c1-10-4-9-3-5(10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1",JDHILDINMRGULE-LURJTMIESA-N,169.1811,169.085126611,10,18,0,36,0,1,0
