ID,Name,Classification,Synonyms,Level,Description,CAS Number,PubChem ID,ChEBI ID,FooDB ID,HMDB ID,SMILES,Formula,InChI,InChIKey,Average mass,Mono. mass,No. of Microbiota associations,No. of Experimental evidences,Reduced by antibiotics (No. of Publications),Reduced in germ-free animals (No. of Publications),Produced by human faecal bacteria (No. of Publications)
46,Apigenin,Flavones,,Single,,520-36-5,5280443,18388,FDB002798,HMDB0002124,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1,C15H10O5,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,270.2369,270.05282343,2,1,0,0,1
91,"3,5-Dihydroxybenzoic acid",Hydroxybenzoic acid derivatives,"DHBA; 3,5-DHBA",Single,,99-10-5,7424,39912,FDB000848,HMDB0013677,OC(=O)C1=CC(O)=CC(O)=C1,C7H6O4,"InChI=1S/C7H6O4/c8-5-1-4(7(10)11)2-6(9)3-5/h1-3,8-9H,(H,10,11)",UYEMGAFJOZZIFP-UHFFFAOYSA-N,154.121,154.026608673,1,1,0,0,1
110,Hippuric acid,Hippuric acids,N-Benzoylglycine; Hippurate,Single,,495-69-2,464,18089,FDB001819,HMDB0000714,OC(=O)CNC(=O)C1=CC=CC=C1,C9H9NO3,"InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)",QIAFMBKCNZACKA-UHFFFAOYSA-N,179.1727,179.058243159,16,3,9,3,1
115,Vitamin B12,Cobalamin derivatives,Cobalamin; Cobalamins,Combined,Includes all vitamers with vitamin B12 activity. Complexe mixture of several compounds.,,,,,,,,,,,,9,1,0,0,5
152,Nicotinic acid,Pyridinecarboxylic acids,Niacin; Nicotinic acid; Nicotinate; Vitamin B3,Single,"This item is used for ""niacin"" when niacin only includes ""nicotinic acid"" and neither ""nicotinamide"" nor ""niacin equivalents"".",59-67-6,938,15940,FDB001014,HMDB0001488,OC(=O)C1=CN=CC=C1,C6H5NO2,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,123.1094,123.032028409,1,1,0,1,0
154,Pantothenic acid,Secondary alcohols,Vitamin B5; (R)-Pantothenic acid; Pantothenate,Single,Amide between pantoic acid and beta-alanine. An essential nutrient for many animals.,79-83-4,6613,46905,FDB008322,HMDB0000210,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,C9H17NO5,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/t7-/m0/s1",GHOKWGTUZJEAQD-ZETCQYMHSA-N,219.235,219.110672659,1,1,0,1,0
155,Thiamin,Thiamines,Vitamin B1; Thiamine,Single,,70-16-6,1130,18385,FDB008424,HMDB0000235,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,C12H17N4OS,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1",JZRWCGZRTZMZEH-UHFFFAOYSA-N,265.355,265.112306876,4,1,0,0,1
156,Riboflavin,Flavins,Vitamin B2; Riboflavine,Single,"Riboflavin, also known as vitamin B2, is a vitamin found in food and used as a dietary supplement.",83-88-5,6759,17015,FDB012160,HMDB0000244,CC1=CC2=C(C=C1C)N(C[C@@H](O)[C@@H](O)[C@@H](O)CO)C1=NC(=O)NC(=O)C1=N2,C17H20N4O6,"InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/t11-,12+,14-/m1/s1",AUNGANRZJHBGPY-MBNYWOFBSA-N,376.369,376.13828438,3,2,1,0,2
157,4-Pyridoxic acid,Pyridinecarboxylic acids,Pyridoxic acid; Pyridoxate,Single,Metabolite of vitamin B6. Usually measured in urine.,82-82-6,6723,17405,FDB021874,HMDB0000017,CC1=NC=C(CO)C(C(O)=O)=C1O,C8H9NO4,"InChI=1S/C8H9NO4/c1-4-7(11)6(8(12)13)5(3-10)2-9-4/h2,10-11H,3H2,1H3,(H,12,13)",HXACOUQIXZGNBF-UHFFFAOYSA-N,183.1614,183.053157781,2,2,1,1,0
185,Hydroxytyrosol,Tyrosols,"3-Hydroxytyrosol; 3,4-Dihydroxyphenylethanol (DOPET)",Single,Commonly found in olive oil. Minor metabolite of dopamin. Putative biomarker of ethanol intake.,10597-60-1,82755,68889,FDB008754,HMDB0005784,OCCC1=CC=C(O)C(O)=C1,C8H10O3,"InChI=1S/C8H10O3/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,9-11H,3-4H2",JUUBCHWRXWPFFH-UHFFFAOYSA-N,154.1632,154.062994186,3,1,0,0,3
223,Dihomo-gamma-linolenic acid (DGLA; cis-20:3n-6),Long-chain fatty acids,"all-cis-8,11,14-Eicosatrienoic acid",Single,,1783-84-2,5280581,53486,FDB023082,HMDB0002925,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,C20H34O2,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",HOBAELRKJCKHQD-QNEBEIHSSA-N,306.4828,306.255880332,1,1,1,0,0
236,Ascorbic acid,Butenolides,"Ascorbic acid, reduced; Vitamin C; L-Ascorbic acid; Ascorbate",Single,Reduced form of ascorbic acid.,50-81-7,54670067,29073,FDB001224,HMDB0000044,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,C6H8O6,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5+/m0/s1",CIWBSHSKHKDKBQ-JLAZNSOCSA-N,176.1241,176.032087988,1,1,1,0,0
237,alpha-Tocopherol,Tocopherols,Vitamin E; (+)-alpha-Tocopherol; D-alpha-Tocopherol,Single,The most important compound with vitamin E activity.,59-02-9,14985,18145,FDB000565,HMDB0001893,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,C29H50O2,"InChI=1S/C29H50O2/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-18-29(8)19-17-26-25(7)27(30)23(5)24(6)28(26)31-29/h20-22,30H,9-19H2,1-8H3/t21-,22-,29-/m1/s1",GVJHHUAWPYXKBD-IEOSBIPESA-N,430.7061,430.381080844,2,1,1,0,0
242,Palmitic acid (16:0),Long-chain fatty acids,Hexadecanoic acid,Single,,57-10-3,985,15756,FDB011679,HMDB0000220,CCCCCCCCCCCCCCCC(O)=O,C16H32O2,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,256.4241,256.240230268,4,2,2,0,1
243,Stearic acid (18:0),Long-chain fatty acids,Octadecanoic acid,Single,,57-11-4,5281,28842,FDB002941,HMDB0000827,CCCCCCCCCCCCCCCCCC(O)=O,C18H36O2,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)",QIQXTHQIDYTFRH-UHFFFAOYSA-N,284.4772,284.271530396,2,1,1,0,0
249,Urea,Ureas,Carbamide,Single,Biomarker of protein intake. Urea is the main nitrogen-containing substance in the urine of mammals.,57-13-6,1176,16199,FDB012174,HMDB0000294,NC(N)=O,CH4N2O,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",XSQUKJJJFZCRTK-UHFFFAOYSA-N,60.0553,60.03236276,1,1,1,0,0
262,Myristic acid (14:0),Long-chain fatty acids,Tetradecanoic acid; Myristate,Single,,544-63-8,11005,28875,FDB002890,HMDB0000806,CCCCCCCCCCCCCC(O)=O,C14H28O2,"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)",TUNFSRHWOTWDNC-UHFFFAOYSA-N,228.3709,228.20893014,2,1,2,0,0
264,Margaric acid (17:0),Long-chain fatty acids,Heptadecanoic acid,Single,,506-12-7,10465,32365,FDB004676,HMDB0002259,CCCCCCCCCCCCCCCCC(O)=O,C17H34O2,"InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)",KEMQGTRYUADPNZ-UHFFFAOYSA-N,270.4507,270.255880332,4,2,1,0,1
300,Lauric acid (12:0),Medium-chain fatty acids,Dodecanoic acid,Single,,143-07-7,3893,30805,FDB003010,HMDB0000638,CCCCCCCCCCCC(O)=O,C12H24O2,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)",POULHZVOKOAJMA-UHFFFAOYSA-N,200.3178,200.177630012,1,1,0,0,1
301,Palmitoleic acid (cis-16:1n-7),Long-chain fatty acids,cis-9-Hexadecenoic acid; cis-Palmitoleic acid; Palmitoleate,Single,,373-49-9,445638,28716,FDB011675,HMDB0003229,CCCCCC\C=C/CCCCCCCC(O)=O,C16H30O2,"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7-",SECPZKHBENQXJG-FPLPWBNLSA-N,254.4082,254.224580204,2,2,1,0,1
311,Oleic acid (cis-18:1n-9),Long-chain fatty acids,cis-9-Octadecenoic acid,Single,,112-80-1,445639,16196,FDB012858,HMDB0000207,CCCCCCCC\C=C/CCCCCCCC(O)=O,C18H34O2,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-",ZQPPMHVWECSIRJ-KTKRTIGZSA-N,282.4614,282.255880332,1,1,0,0,1
316,Creatinine,Alpha amino acids and derivatives,,Single,This item is used in the database to indicate measurement or correlation adjustment; in these cases creatinine excretions are indicated. Can be quantified with the Jaffe Kinetic method.,60-27-5,588,16737,FDB021814,HMDB0000562,CN1CC(=O)NC1=N,C4H7N3O,"InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)",DDRJAANPRJIHGJ-UHFFFAOYSA-N,113.1179,113.058911861,1,1,0,1,0
336,Homocysteine,L-alpha-amino acids,Total homocysteine (tHcy); L-Homocysteine,Single,Marker of folate deficiency.,6027-13-0,91552,17588,FDB001491,HMDB0000742,N[C@@H](CCS)C(O)=O,C4H9NO2S,"InChI=1S/C4H9NO2S/c5-3(1-2-8)4(6)7/h3,8H,1-2,5H2,(H,6,7)/t3-/m0/s1",FFFHZYDWPBMWHY-VKHMYHEASA-N,135.185,135.035399227,1,1,1,0,0
379,Phylloquinone,Vitamin K compounds,Vitamin K1; Phytomenadione,Single,,84-80-0,5280483,18067,FDB012357,HMDB0003555,CC(C)CCCC(C)CCCC(C)CCC\C(C)=C\CC1=C(C)C(=O)C2=CC=CC=C2C1=O,C31H46O2,"InChI=1S/C31H46O2/c1-22(2)12-9-13-23(3)14-10-15-24(4)16-11-17-25(5)20-21-27-26(6)30(32)28-18-7-8-19-29(28)31(27)33/h7-8,18-20,22-24H,9-17,21H2,1-6H3/b25-20+",MBWXNTAXLNYFJB-LKUDQCMESA-N,450.6957,450.349780716,2,1,0,1,0
394,Caffeic acid,Hydroxycinnamic acids,"3,4-Dihydroxycinnamic acid; trans-Caffeic acid",Single,,331-39-5,689043,16433,FDB002558,HMDB0001964,OC(=O)\C=C/C1=CC(O)=C(O)C=C1,C9H8O4,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2-",QAIPRVGONGVQAS-RQOWECAXSA-N,180.1574,180.042258744,11,1,0,0,10
395,m-Coumaric acid,Hydroxycinnamic acids,3-Hydroxycinnamic acid; m-Hydroxycinnamic acid; 3-Hydroxycinnamate,Single,,588-30-7,637541,47925,FDB002590,HMDB0001713,OC(=O)\C=C\C1=CC=CC(O)=C1,C9H8O3,"InChI=1S/C9H8O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-6,10H,(H,11,12)/b5-4+",KKSDGJDHHZEWEP-SNAWJCMRSA-N,164.158,164.047344122,3,2,0,1,1
396,Gallic acid,Gallic acids,,Single,,149-91-7,370,30778,FDB000662,HMDB0005807,OC(=O)C1=CC(O)=C(O)C(O)=C1,C7H6O5,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,170.12,170.021523293,14,2,0,1,4
411,Arachidic acid (20:0),Long-chain fatty acids,Eicosanoic acid,Single,,506-30-9,10467,28822,FDB002927,HMDB0002212,CCCCCCCCCCCCCCCCCCCC(O)=O,C20H40O2,"InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)",VKOBVWXKNCXXDE-UHFFFAOYSA-N,312.5304,312.302830524,3,1,1,0,0
419,Behenic acid (22:0),Very long-chain fatty acids,,Single,,112-85-6,8215,28941,FDB021815,HMDB0000944,CCCCCCCCCCCCCCCCCCCCCC(O)=O,C22H44O2,"InChI=1S/C22H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h2-21H2,1H3,(H,23,24)",UKMSUNONTOPOIO-UHFFFAOYSA-N,340.5836,340.334130652,3,2,1,0,1
420,Lignoceric acid (24:0),Very long-chain fatty acids,,Single,,557-59-5,11197,28866,FDB021823,HMDB0002003,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,C24H48O2,"InChI=1S/C24H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h2-23H2,1H3,(H,25,26)",QZZGJDVWLFXDLK-UHFFFAOYSA-N,368.6367,368.36543078,2,1,1,0,0
421,Nervonic acid (cis-24:1n-9),Very long-chain fatty acids,cis-15-Tetracosenoic acid; cis-24:1,Single,,506-37-6,5281120,44247,FDB002934,HMDB0002368,CCCCCCCC\C=C/CCCCCCCCCCCCCC(O)=O,C24H46O2,"InChI=1S/C24H46O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h9-10H,2-8,11-23H2,1H3,(H,25,26)/b10-9-",GWHCXVQVJPWHRF-KTKRTIGZSA-N,366.6208,366.349780716,1,1,0,0,1
430,Myristoleic acid (cis-14:1n-5),Long-chain fatty acids,cis-9-Tetradecenoic acid,Single,,544-64-9,5281119,27781,FDB012633,HMDB0002000,CCCC\C=C/CCCCCCCC(O)=O,C14H26O2,"InChI=1S/C14H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h5-6H,2-4,7-13H2,1H3,(H,15,16)/b6-5-",YWWVWXASSLXJHU-WAYWQWQTSA-N,226.355,226.193280076,1,1,0,0,1
476,Butyric acid (4:0),Straight chain fatty acids,Butanoic acid; Butyrate,Single,Major end-product of bacterial metabolism in the large bowel (Cummings 1997).,107-92-6,264,30772,FDB012062,HMDB0000039,CCCC(O)=O,C4H8O2,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",FERIUCNNQQJTOY-UHFFFAOYSA-N,88.1051,88.0524295,41,3,9,4,12
477,Caproic acid (6:0),Medium-chain fatty acids,Hexanoic acid; Hexanoate,Single,Microbial metabolite derived from SCFAs but also from amino acids. Many of the less-common SCFAs are also the products of reductive amino acid metabolism (Donia 2015).,142-62-1,8892,30776,FDB013897,HMDB0000535,CCCCCC(O)=O,C6H12O2,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",FUZZWVXGSFPDMH-UHFFFAOYSA-N,116.1583,116.083729628,6,2,2,0,2
478,Caprylic acid (8:0),Medium-chain fatty acids,Caprylate,Single,,124-07-2,379,28837,FDB003336,HMDB0000482,CCCCCCCC(O)=O,C8H16O2,"InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)",WWZKQHOCKIZLMA-UHFFFAOYSA-N,144.2114,144.115029756,1,1,0,0,1
479,Capric acid (10:0),Medium-chain fatty acids,Decanoic acid; Caprate,Single,,334-48-5,2969,30813,FDB012027,HMDB0000511,CCCCCCCCCC(O)=O,C10H20O2,"InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)",GHVNFZFCNZKVNT-UHFFFAOYSA-N,172.2646,172.146329884,1,1,0,0,1
489,Folates,Pterins and derivatives,"Folic acid; Folate; Total folate; Folates, natural and synthetic; Folates, natural and added",Combined,Includes natural folate (foods) and added folic acid (foods and/or supplements).,,,,,,,,,,,,6,2,1,0,1
539,3-Methylhistidine,Histidine and derivatives,3-Methyl-histidine; 3-Methyl-L-histidine,Single,,368-16-1,64969,27596,FDB021798,HMDB0000479,CN1C=NC=C1C[C@H](N)C(O)=O,C7H11N3O2,"InChI=1S/C7H11N3O2/c1-10-4-9-3-5(10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1",JDHILDINMRGULE-LURJTMIESA-N,169.1811,169.085126611,1,1,0,1,0
598,Ethanol,Primary alcohols,Alcohol; Drinking alcohol; Ethyl alcohol,Single,,64-17-5,702,16236,FDB000753,HMDB0000108,CCO,C2H6O,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N,46.0684,46.041864814,6,1,0,0,4
599,Taurine,Organosulfonic acids,L-Taurine; 2-Aminoethanesulfonic acid,Single,"Derivative of cysteine. Widely distributed in animal tissues and major bile constituent. Often called an amino acid, it is not an amino acid.",107-35-7,1123,15891,FDB003191,HMDB0000251,NCCS(O)(=O)=O,C2H7NO3S,"InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)",XOAAWQZATWQOTB-UHFFFAOYSA-N,125.147,125.014663785,3,2,2,1,0
605,Nicotinamide,Nicotinamides,Niacinamide; Nicotinic acid amide; Niacin,Single,"This item is used for ""niacin"" when niacin only includes ""nicotinamide"" and neither ""nicotinic acid"" nor ""niacin equivalents"".",98-92-0,936,17154,FDB012485,HMDB0001406,NC(=O)C1=CC=CN=C1,C6H6N2O,"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)",DFPAKSUCGFBDDF-UHFFFAOYSA-N,122.1246,122.048012824,1,1,1,0,0
668,5-Hydroxyindole-3-acetic acid,Indole-3-acetic acid derivatives,5-Hydroxyindoleacetic acid; Hydroxyindole acetic acid; 5-HIAA,Single,"Metabolite of serotonin, produced by host (Fig 2, pmid:29902437). Main metabolite of serotonin.",54-16-0,1826,27823,FDB001403,HMDB0000763,OC(=O)CC1=CNC2=CC=C(O)C=C12,C10H9NO3,"InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)",DUUGKQCEGZLZNO-UHFFFAOYSA-N,191.1834,191.058243159,2,2,1,1,0
764,Tricosanoic acid (23:0),Very long-chain fatty acids,,Single,,2433-96-7,17085,42394,FDB002894,HMDB0001160,CCCCCCCCCCCCCCCCCCCCCCC(O)=O,C23H46O2,"InChI=1S/C23H46O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23(24)25/h2-22H2,1H3,(H,24,25)",XEZVDURJDFGERA-UHFFFAOYSA-N,354.6101,354.349780716,1,1,1,0,0
861,Phenol,1-hydroxy-4-unsubstituted benzenoids,Carbolic acid,Single,Biomarker of benzene exposure.,108-95-2,996,15882,FDB000893,HMDB0000228,OC1=CC=CC=C1,C6H6O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,94.1112,94.041864814,15,3,2,2,5
875,Tryptophan,Indolyl carboxylic acids and derivatives,L-Tryptophan; 2-Amino-3-indolylpropanoic acid; Indole-3-alanine; (S)-alpha-Amino-1H-indole-3-propanoic acid,Single,"Essential amino acid. Precursor to the neurotransmitter serotonin, the hormone melatonin and vitamin B3.",73-22-3,6305,16828,FDB002250,HMDB0000929,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,C11H12N2O2,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",QIVBCDIJIAJPQS-VIFPVBQESA-N,204.2252,204.089877638,3,2,2,0,1
1483,p-Coumaric acid,Hydroxycinnamic acids,4-Hydroxycinnamic acid; p-Hydroxycinnamic acid,Single,,7400-08-0,637542,36090,FDB002593,HMDB0002035,OC(=O)\C=C\C1=CC=C(O)C=C1,C9H8O3,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",NGSWKAQJJWESNS-ZZXKWVIFSA-N,164.158,164.047344122,3,1,0,0,2
1484,Ferulic acid,Hydroxycinnamic acids,trans-Ferulic acid,Single,,537-98-4,445858,17620,FDB012802,HMDB0000954,COC1=C(O)C=CC(\C=C\C(O)=O)=C1,C10H10O4,"InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",KSEBMYQBYZTDHS-HWKANZROSA-N,194.184,194.057908808,6,2,1,0,4
