"node","Class","true_name"
"exposome_genus_Dactylonectria","Exposome (biological)","Dactylonectria"
"exposome_genus_Didymobotryum","Exposome (biological)","Didymobotryum"
"exposome_genus_Dyadobacter","Exposome (biological)","Dyadobacter"
"exposome_genus_Enterobacter","Exposome (biological)","Enterobacter"
"exposome_genus_Epichloe","Exposome (biological)","Epichloe"
"exposome_genus_Fibulorhizoctonia","Exposome (biological)","Fibulorhizoctonia"
"exposome_genus_Fistulina","Exposome (biological)","Fistulina"
"exposome_genus_Flavihumibacter","Exposome (biological)","Flavihumibacter"
"exposome_genus_Fomitiporia","Exposome (biological)","Fomitiporia"
"exposome_genus_Galerina","Exposome (biological)","Galerina"
"exposome_genus_Gardnerella","Exposome (biological)","Gardnerella"
"exposome_genus_Geobacillus","Exposome (biological)","Geobacillus"
"exposome_genus_Glarea","Exposome (biological)","Glarea"
"exposome_genus_Globodera","Exposome (biological)","Globodera"
"exposome_genus_Gymnopus","Exposome (biological)","Gymnopus"
"exposome_genus_Helminthosporium","Exposome (biological)","Helminthosporium"
"exposome_genus_Hortaea","Exposome (biological)","Hortaea"
"exposome_genus_Humulus","Exposome (biological)","Humulus"
"exposome_genus_Hymenobacter","Exposome (biological)","Hymenobacter"
"exposome_genus_Laccaria","Exposome (biological)","Laccaria"
"exposome_genus_Laetiporus","Exposome (biological)","Laetiporus"
"exposome_genus_Lentinula","Exposome (biological)","Lentinula"
"exposome_genus_Leucoagaricus","Exposome (biological)","Leucoagaricus"
"exposome_genus_Lymnaea","Exposome (biological)","Lymnaea"
"exposome_genus_Macrocystidia","Exposome (biological)","Macrocystidia"
"exposome_genus_Macrostomum","Exposome (biological)","Macrostomum"
"exposome_genus_Malus","Exposome (biological)","Malus"
"exposome_genus_Metarhizium","Exposome (biological)","Metarhizium"
"exposome_genus_Microdochium","Exposome (biological)","Microdochium"
"exposome_genus_Mucilaginibacter","Exposome (biological)","Mucilaginibacter"
"exposome_genus_Nicotiana","Exposome (biological)","Nicotiana"
"exposome_genus_Nocardioides","Exposome (biological)","Nocardioides"
"exposome_genus_Ochroconis","Exposome (biological)","Ochroconis"
"exposome_genus_Ophiognomonia","Exposome (biological)","Ophiognomonia"
"exposome_genus_Ornithinibacillus","Exposome (biological)","Ornithinibacillus"
"exposome_genus_Phlebiopsis","Exposome (biological)","Phlebiopsis"
"exposome_genus_Piriformospora","Exposome (biological)","Piriformospora"
"exposome_genus_Pleurotus","Exposome (biological)","Pleurotus"
"exposome_genus_Postia","Exposome (biological)","Postia"
"exposome_genus_Preussia","Exposome (biological)","Preussia"
"exposome_genus_Pseudocercospora","Exposome (biological)","Pseudocercospora"
"exposome_genus_Punctularia","Exposome (biological)","Punctularia"
"exposome_genus_Pyrus","Exposome (biological)","Pyrus"
"exposome_genus_Quercus","Exposome (biological)","Quercus"
"exposome_genus_Rhinocladiella","Exposome (biological)","Rhinocladiella"
"exposome_genus_Rhizoctonia","Exposome (biological)","Rhizoctonia"
"exposome_genus_Rhizopogon","Exposome (biological)","Rhizopogon"
"exposome_genus_Rutstroemia","Exposome (biological)","Rutstroemia"
"exposome_genus_Sanghuangporus","Exposome (biological)","Sanghuangporus"
"exposome_genus_Schizophyllum","Exposome (biological)","Schizophyllum"
"exposome_genus_Scleroderma","Exposome (biological)","Scleroderma"
"exposome_genus_Segetibacter","Exposome (biological)","Segetibacter"
"exposome_genus_Serendipita","Exposome (biological)","Serendipita"
"exposome_genus_Shiraia","Exposome (biological)","Shiraia"
"exposome_genus_Sphaerobolus","Exposome (biological)","Sphaerobolus"
"exposome_genus_Stachybotrys","Exposome (biological)","Stachybotrys"
"exposome_genus_Stagonospora","Exposome (biological)","Stagonospora"
"exposome_genus_Synechocystis","Exposome (biological)","Synechocystis"
"exposome_genus_Thermogemmatispora","Exposome (biological)","Thermogemmatispora"
"exposome_genus_Tilletia","Exposome (biological)","Tilletia"
"exposome_genus_Tilletiaria","Exposome (biological)","Tilletiaria"
"exposome_genus_Trametes","Exposome (biological)","Trametes"
"exposome_genus_Tricholoma","Exposome (biological)","Tricholoma"
"exposome_genus_Triticum","Exposome (biological)","Triticum"
"exposome_genus_Tulasnella","Exposome (biological)","Tulasnella"
"exposome_genus_Volvariella","Exposome (biological)","Volvariella"
"exposome_genus_Wolfiporia","Exposome (biological)","Wolfiporia"
"exposome_genus_Emmonsia","Exposome (biological)","Emmonsia"
"exposome_genus_Gloeophyllum","Exposome (biological)","Gloeophyllum"
"exposome_genus_Ktedonobacter","Exposome (biological)","Ktedonobacter"
"exposome_genus_Lentinus","Exposome (biological)","Lentinus"
"exposome_genus_Lignosus","Exposome (biological)","Lignosus"
"exposome_genus_Obba","Exposome (biological)","Obba"
"exposome_genus_Picea","Exposome (biological)","Picea"
"exposome_genus_Pinus","Exposome (biological)","Pinus"
"exposome_genus_Pisolithus","Exposome (biological)","Pisolithus"
"exposome_genus_Streptomyces","Exposome (biological)","Streptomyces"
"exposome_genus_Zymoseptoria","Exposome (biological)","Zymoseptoria"
"NM1254","Exposome (chemical)","Salicylic acid"
"NM2680","Exposome (chemical)","Tetrachloroethylene"
"PM1307","Exposome (chemical)","Dibromoethane"
"PM2541","Exposome (chemical)","Amoxicillin"
"PM3067","Exposome (chemical)","Tetrabromobisphenol A diallyl ether"
"NM1446","Exposome (chemical)","Trimethyl Phosphate"
"NM1550","Exposome (chemical)","4-Chloro-o-toluidine"
"NM3057","Exposome (chemical)","Acephate"
"NM4303","Exposome (chemical)","Fenazaquin"
"NM4337","Exposome (chemical)","Zeranol"
"PM1171","Exposome (chemical)","Triethyl phosphate"
"PM1880","Exposome (chemical)","p-Hydroxy-meta-chlorophenylpiperazine"
"PM1935","Exposome (chemical)","Pymetrozin"
"PM2296","Exposome (chemical)","Cyproconazole"
"PM2342","Exposome (chemical)","Butylated triphenyl phosphate"
"PM2549","Exposome (chemical)","Tricresyl phosphate"
"NM0104","Exposome (chemical)","Ethyl carbamate"
"NM0522","Exposome (chemical)","Hexanoic acid"
"NM1145","Exposome (chemical)","4-Nitrotoluene"
"NM1240","Exposome (chemical)","4-Hydroxybenzoic acid"
"NM1340","Exposome (chemical)","4-Nitrophenol"
"NM2328","Exposome (chemical)","Methylparaben"
"NM3853","Exposome (chemical)","Dinoseb"
"NM4256","Exposome (chemical)","Diclofenac"
"NM4280","Exposome (chemical)","Captan"
"NM4281","Exposome (chemical)","Saxitoxin"
"NM4287","Exposome (chemical)","Perfluorobutanesulfonic acid (PFBS)"
"NM4327","Exposome (chemical)","Aflatoxin B2"
"NM4350","Exposome (chemical)","Hexachloronaphthalene"
"PM0034","Exposome (chemical)","1,4-Dioxane"
"PM0320","Exposome (chemical)","N-Nitrosodiethylamine"
"PM0466","Exposome (chemical)","Styrene"
"PM0594","Exposome (chemical)","Diethylene glycol"
"PM0626","Exposome (chemical)","o-Toluidine"
"PM0682","Exposome (chemical)","Styrene oxide"
"PM0834","Exposome (chemical)","Chloral"
"PM0964","Exposome (chemical)","Chloronaphthalene"
"PM0996","Exposome (chemical)","Fenuron"
"PM1013","Exposome (chemical)","Phthalic acid"
"PM1040","Exposome (chemical)","4-Ipomeanol"
"PM1048","Exposome (chemical)","Glyphosate"
"PM1062","Exposome (chemical)","Decanoic acid"
"PM1149","Exposome (chemical)","Aspirin"
"PM1499","Exposome (chemical)","Aldicarb"
"PM1527","Exposome (chemical)","Diethyltoluamide"
"PM1704","Exposome (chemical)","Dichloronaphthalene"
"PM1795","Exposome (chemical)","Bisphenol F"
"PM1811","Exposome (chemical)","Fluoranthene"
"PM1888","Exposome (chemical)","Omethoate"
"PM1890","Exposome (chemical)","Simetryn"
"PM1900","Exposome (chemical)","Clofibric acid"
"PM1902","Exposome (chemical)","Metribuzin"
