mz-peak	score	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=138.0501	0.5	met43882	Urocanic acid	HMDB0000301	Endogenous	Organoheterocyclic compounds	Cytoplasm (predicted from logP)	138.04292745	C6H6N2O2
m/z=138.0501	0.5	met16482	(E)-Urocanic acid	HMDB0034174	Food	Organic compounds	Cytoplasm|Extracellular	138.04292745	C6H6N2O2
m/z=116.0399	1.0	met57697	Alpha-ketoisovaleric acid	HMDB0000019	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane|Mitochondria	116.04734412	C5H8O3
m/z=812.6806	1.0	met58955	SM(d18:1/24:1(15Z))	HMDB0012107	Endogenous|Food	Organic compounds	Extracellular|Membrane	812.67712523	C47H93N2O6P
m/z=151.0705	1.0	met55939	Dopamine quinone	HMDB0012219	Drug metabolite|Endogenous	Organic compounds	Cytoplasm	151.06332854	C8H9NO2
m/z=763.5577	0.5	met37076	PC(P-18:1(11Z)/18:4(6Z,9Z,12Z,15Z))	HMDB0011280	Endogenous|Food	Organic compounds	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=763.5577	0.5	met13402	PC(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))	HMDB0011222	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	763.55159037	C44H78NO7P
m/z=178.0484	1.0	met9165	Cysteinyl-Glycine	HMDB0028775	Endogenous	Organic compounds	NULL	178.04121289	C5H10N2O3S
m/z=130.0558	0.5	met14637	3-Methyl-2-oxovaleric acid	HMDB0000491	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	130.06299419	C6H10O3
m/z=130.0558	1.0	met43585	Ketoleucine	HMDB0000695	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane|Mitochondria	130.06299419	C6H10O3
m/z=136.0457	1.0	met73376	Hypoxanthine	HMDB0000157	Drug metabolite|Endogenous	Organoheterocyclic compounds	Cytoplasm|Extracellular|Lysosome|Peroxisome	136.03851077	C5H4N4O
m/z=136.0457	1.0	met32056	4-Hydroxyphenylacetaldehyde	HMDB0003767	Endogenous	Organic compounds	NULL	136.0524295	C8H8O2
m/z=503.3082	0.5	met24259	LysoPE(0:0/20:3(11Z,14Z,17Z))	HMDB0011484	Endogenous|Food	Organic compounds	Extracellular|Membrane	503.30118934	C25H46NO7P
m/z=503.3082	0.5	met16864	LysoPE(20:3(11Z,14Z,17Z)/0:0)	HMDB0011514	Endogenous|Food	Organic compounds	Extracellular|Membrane	503.30118934	C25H46NO7P
m/z=297.1139	1.0	met40110	Phenethylamine glucuronide	HMDB0010323	Endogenous	Organic compounds	NULL	297.12123734	C14H19NO6
m/z=185.1123	1.0	met13622	Ecgonine	HMDB0006548	Endogenous	Alkaloids and derivatives	Endoplasmic reticulum	185.10519335	C9H15NO3
m/z=749.5404	0.5	met51765	PE(P-18:1(9Z)/20:4(5Z,8Z,11Z,14Z))	HMDB0011451	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=749.5404	0.5	met26761	PE(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))	HMDB0011387	Endogenous|Food	Organic compounds	Extracellular|Membrane	749.5359403	C43H76NO7P
m/z=891.6501	1.0	met41019	3-O-Sulfogalactosylceramide (d18:1/24:0)	HMDB0000024	Endogenous|Food	Organic compounds	Extracellular|Membrane|Lysosome	891.64693351	C48H93NO11S
