ID,Name,Classification,Synonyms,Level,Description,CAS Number,PubChem ID,ChEBI ID,FooDB ID,HMDB ID,SMILES,Formula,InChI,InChIKey,Average mass,Mono. mass,No. of Publications,No. of Concentration values,No. of Reproducibility values,No. of Correlation values,No. of Metabolomic associations,No. of Cancer associations
84,beta-Cryptoxanthin,Xanthophylls,Cryptoxanthin; all-trans-beta-Cryptoxanthin,Single,,472-70-8,5281235,10362,FDB012019,HMDB33844,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,C40H56O,"InChI=1S/C40H56O/c1-30(18-13-20-32(3)23-25-37-34(5)22-15-27-39(37,7)8)16-11-12-17-31(2)19-14-21-33(4)24-26-38-35(6)28-36(41)29-40(38,9)10/h11-14,16-21,23-26,36,41H,15,22,27-29H2,1-10H3/b12-11+,18-13+,19-14+,25-23+,26-24+,30-16+,31-17+,32-20+,33-21+/t36-/m1/s1",DMASLKHVQRHNES-FKKUPVFPSA-N,552.887,552.433116423,93,86,9,297,0,50
85,Zeaxanthin,Xanthophylls,all-trans-Zeaxanthin,Single,Can coelute with lutein.,144-68-3,5280899,27547,FDB019865,HMDB02789,C\C(\C=C\C=C(/C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,C40H56O2,"InChI=1S/C40H56O2/c1-29(17-13-19-31(3)21-23-37-33(5)25-35(41)27-39(37,7)8)15-11-12-16-30(2)18-14-20-32(4)22-24-38-34(6)26-36(42)28-40(38,9)10/h11-24,35-36,41-42H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+/t35-,36-/m1/s1",JKQXZKUSFCKOGQ-QAYBQHTQSA-N,568.886,568.428031043,31,18,3,76,0,17
86,Lycopene,Carotenes,all-trans-Lycopene,Single,,502-65-8,446925,15948,FDB015833,HMDB03000,CC(C)=CCC\C(C)=C\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C=C(/C)CCC=C(C)C,C40H56,"InChI=1S/C40H56/c1-33(2)19-13-23-37(7)27-17-31-39(9)29-15-25-35(5)21-11-12-22-36(6)26-16-30-40(10)32-18-28-38(8)24-14-20-34(3)4/h11-12,15-22,25-32H,13-14,23-24H2,1-10H3/b12-11+,25-15+,26-16+,31-17+,32-18+,35-21+,36-22+,37-27+,38-28+,39-29+,40-30+",OAIJSZIZWZSQBC-GYZMGTAESA-N,536.888,536.438201803,97,101,10,294,0,57
87,Carotenoids,Carotenoids,Total carotenoids,Combined,,,,,,,,,,,,,53,32,4,260,0,29
88,Lutein,Xanthophylls,all-trans-Lutein,Single,"Can coelute with zeaxanthin. This item is only used when ""lutein only"" is clearly stated, otherwise ""Lutein/Zeaxanthin"" should be used.",127-40-2,5281243,28838,FDB015471,HMDB03233,O[C@@H]1CC(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\[C@H]2C(C)=CC(O)CC2(C)C)C(C)(C)C1,C40H56O2,"InChI=1S/C40H56O2/c1-29(17-13-19-31(3)21-23-37-33(5)25-35(41)27-39(37,7)8)15-11-12-16-30(2)18-14-20-32(4)22-24-38-34(6)26-36(42)28-40(38,9)10/h11-25,35-37,41-42H,26-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+/t35?,36-,37+/m1/s1",KBPHJBAIARWVSC-RTIVXWJOSA-N,568.8714,568.428031036,44,29,3,134,0,26
89,beta-Carotene,Vitamin A (Retinol),Vitamin A; Carotene; all-trans-beta-Carotene,Single,beta-Carotene is the most well-known provitamin A carotenoid.,7235-40-7,5280489,17579,FDB014613,HMDB00561,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C,C40H56,"InChI=1S/C40H56/c1-31(19-13-21-33(3)25-27-37-35(5)23-15-29-39(37,7)8)17-11-12-18-32(2)20-14-22-34(4)26-28-38-36(6)24-16-30-40(38,9)10/h11-14,17-22,25-28H,15-16,23-24,29-30H2,1-10H3/b12-11+,19-13+,20-14+,27-25+,28-26+,31-17+,32-18+,33-21+,34-22+",OENHQHLEOONYIE-JLTXGRSLSA-N,536.888,536.438201803,123,121,10,508,0,69
29,1-Hydroxypyrene glucuronide,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],1-OHPG; 1-Hydroxypyrene beta-D-glucuronide,Single,,154717-05-2,59751652,,,HMDB59759,O[C@@H]1[C@@H](O)[C@H](OC2=C3C=CC4=CC=CC5=C4C3=C(C=C2)C=C5)O[C@@H]([C@H]1O)C(O)=O,C22H18O7,"InChI=1S/C22H18O7/c23-17-18(24)20(21(26)27)29-22(19(17)25)28-14-9-7-12-5-4-10-2-1-3-11-6-8-13(14)16(12)15(10)11/h1-9,17-20,22-25H,(H,26,27)/t17-,18-,19+,20-,22+/m0/s1",BUCREAQPYGLZLI-SXFAUFNYSA-N,394.3741,394.10525293,6,43,0,6,0,0
91,"3,5-Dihydroxybenzoic acid",Alkylresorcinols,"DHBA; 3,5-DHBA",Single,,99-10-5,7424,39912,FDB000848,HMDB13677,OC(=O)C1=CC(O)=CC(O)=C1,C7H6O4,"InChI=1S/C7H6O4/c8-5-1-4(7(10)11)2-6(9)3-5/h1-3,8-9H,(H,10,11)",UYEMGAFJOZZIFP-UHFFFAOYSA-N,154.121,154.026608673,3,6,1,36,0,0
92,"3,5-DHPPA",Alkylresorcinols,"DHPPA; 3,5-Dihydroxyphenylpropanoic acid; 3-(3,5-Dihydroxyphenyl)-1-propanoic acid",Single,Metabolite of alkylresorcinol.,26539-01-5,161525,,,,OC(=O)CCC1=CC(O)=CC(O)=C1,C9H10O4,"InChI=1S/C9H10O4/c10-7-3-6(1-2-9(12)13)4-8(11)5-7/h3-5,10-11H,1-2H2,(H,12,13)",ITPFIKQWNDGDLG-UHFFFAOYSA-N,182.175,182.057908802,3,6,1,45,0,0
93,Alkylresorcinol metabolites,Alkylresorcinols,,Combined,,,,,,,,,,,,,2,3,1,34,0,0
30,Enterodiol,Lignans,(-)-Enterodiol,Single,,80226-00-2,115089,81556,FDB021828,HMDB05056,OC[C@H](CC1=CC(O)=CC=C1)[C@H](CO)CC1=CC(O)=CC=C1,C18H22O4,"InChI=1S/C18H22O4/c19-11-15(7-13-3-1-5-17(21)9-13)16(12-20)8-14-4-2-6-18(22)10-14/h1-6,9-10,15-16,19-22H,7-8,11-12H2/t15-,16-/m0/s1",DWONJCNDULPHLV-HOTGVXAUSA-N,302.3649,302.151809192,16,14,2,50,0,13
36,Lignans,Lignans,,Combined,,,,25036,,,,,,,,,9,4,0,20,0,6
48,Flavones,Flavones,,Combined,,,,,,,,,,,,,2,2,0,10,0,0
47,Luteolin,Flavones,,Single,,491-70-3,5280445,15864,FDB013255,HMDB05800,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=C(O)C(O)=C1,C15H10O6,"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",IQPNAANSBPBGFQ-UHFFFAOYSA-N,286.2363,286.047738052,3,2,1,10,0,0
50,Resveratrol metabolites,Stilbenes,,Combined,,,,,,,,,,,,,1,3,0,2,0,0
661,cis-Resveratrol 3-O-glucuronide,Stilbenes,,Single,,,29986850,86971,FDB029877,HMDB41711,O[C@H]1[C@H](OC2=CC(\C=C/C3=CC=C(O)C=C3)=CC(O)=C2)O[C@@H]([C@@H](O)[C@@H]1O)C(O)=O,C20H20O9,"InChI=1S/C20H20O9/c21-12-5-3-10(4-6-12)1-2-11-7-13(22)9-14(8-11)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h1-9,15-18,20-25H,(H,26,27)/b2-1-/t15-,16-,17+,18-,20+/m0/s1",QWSAYEBSTMCFKY-BMPGWQKJSA-N,404.3674,404.110732238,1,0,0,0,0,0
663,cis-Resveratrol 4'-O-glucuronide,Stilbenes,,Single,,,,,FDB029879,HMDB41713,O[C@H]1[C@H](OC2=CC=C(\C=C/C3=CC(O)=CC(O)=C3)C=C2)O[C@@H]([C@@H](O)[C@@H]1O)C(O)=O,C20H20O9,"InChI=1S/C20H20O9/c21-12-7-11(8-13(22)9-12)2-1-10-3-5-14(6-4-10)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h1-9,15-18,20-25H,(H,26,27)/b2-1-/t15-,16-,17+,18-,20+/m0/s1",CDEBVTGYVFHDMA-BMPGWQKJSA-N,404.3674,404.110732238,1,0,0,0,0,0
666,cis-Resveratrol 4'-O-sulfate,Stilbenes,cis-Resveratrol 4'-sulfate,Single,,,,,FDB029880,HMDB41714,OC1=CC(\C=C/C2=CC=C(OS(O)(=O)=O)C=C2)=CC(O)=C1,C14H12O6S,"InChI=1S/C14H12O6S/c15-12-7-11(8-13(16)9-12)2-1-10-3-5-14(6-4-10)20-21(17,18)19/h1-9,15-16H,(H,17,18,19)/b2-1-",KOTTWDFKZULRPN-UPHRSURJSA-N,308.306,308.035458806,1,0,0,0,0,0
660,trans-Resveratrol 3-O-glucuronide,Stilbenes,,Single,,,5273285,,FDB029956,HMDB41782,O[C@H]1[C@H](OC2=CC(\C=C\C3=CC=C(O)C=C3)=CC(O)=C2)O[C@@H]([C@@H](O)[C@@H]1O)C(O)=O,C20H20O9,"InChI=1S/C20H20O9/c21-12-5-3-10(4-6-12)1-2-11-7-13(22)9-14(8-11)28-20-17(25)15(23)16(24)18(29-20)19(26)27/h1-9,15-18,20-25H,(H,26,27)/b2-1+/t15-,16-,17+,18-,20+/m0/s1",QWSAYEBSTMCFKY-OTPOQTMVSA-N,404.3674,404.110732238,1,0,0,0,0,0
665,trans-Resveratrol 3-O-sulfate,Stilbenes,Resveratrol 3-O-sulfate,Single,,,,84040,FDB029957,,OC1=CC=C(\C=C\C2=CC(O)=CC(OS(O)(=O)=O)=C2)C=C1,C14H12O6S,"InChI=1S/C14H12O6S/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(8-11)20-21(17,18)19/h1-9,15-16H,(H,17,18,19)/b2-1+",DULQFFCIVGYOFH-OWOJBTEDSA-N,308.306,308.035458806,1,0,0,0,0,0
664,trans-Resveratrol 4'-O-sulfate,Stilbenes,,Single,,,29986833,,FDB029959,HMDB41784,OC1=CC(\C=C\C2=CC=C(OS(O)(=O)=O)C=C2)=CC(O)=C1,C14H12O6S,"InChI=1S/C14H12O6S/c15-12-7-11(8-13(16)9-12)2-1-10-3-5-14(6-4-10)20-21(17,18)19/h1-9,15-16H,(H,17,18,19)/b2-1+",KOTTWDFKZULRPN-OWOJBTEDSA-N,308.306,308.035458806,1,0,0,0,0,0
109,Nitrogen,Nitrogen,,Single,Nitrogen can be measured in urine with the Kjeldahl method or by spectrophotometric methods (enzymic tests). Total urinary nitrogen is calculated based on urea urinary nitrogen quantified with these methods.,17778-88-0,,29351,,,[N],N,InChI=1S/N,QJGQUHMNIGDVPM-UHFFFAOYSA-N,14.007,14.003074004,11,11,0,64,0,0
110,Hippuric acid,Amino acids and derivatives,N-Benzoylglycine ; Hippurate,Single,,495-69-2,464,18089,FDB001819,HMDB00714,OC(=O)CNC(=O)C1=CC=CC=C1,C9H9NO3,"InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)",QIAFMBKCNZACKA-UHFFFAOYSA-N,179.1727,179.058243159,6,2,0,4,5,0
108,Potassium,Potassium,,Single,Potassium is an alkali metal with valence 1. Potassium (K+) is the main cationic osmolyte within cells.,24203-36-9,813,29103,FDB003521,HMDB00586,[K+],K,InChI=1S/K/q+1,NPYPAHLBTDXSSS-UHFFFAOYSA-N,39.0983,38.963706861,7,10,0,41,0,0
489,Folates,Vitamin B9 (Folic acid),"Folic acid; Folate; Total folate; Folates, natural and synthetic; Folates, natural and added",Combined,Includes natural folate (foods) and added folic acid (foods and/or supplements).,,,,,,,,,,,,67,65,8,156,0,43
115,Vitamin B12,Vitamin B12 (Cobalamin),Cobalamin; Cobalamins,Combined,Includes all vitamers with vitamin B12 activity. Complexe mixture of several compounds.,,,,,,,,,,,,47,42,8,54,0,31
34,Secoisolariciresinol,Lignans,(-)-Secoisolariciresinol,Single,,29388-59-8,65373,65004,FDB021314,HMDB13692,COC1=CC(CC(CO)C(CO)CC2=CC(OC)=C(O)C=C2)=CC=C1O,C20H26O6,"InChI=1S/C20H26O6/c1-25-19-9-13(3-5-17(19)23)7-15(11-21)16(12-22)8-14-4-6-18(24)20(10-14)26-2/h3-6,9-10,15-16,21-24H,7-8,11-12H2,1-2H3",PUETUDUXMCLALY-UHFFFAOYSA-N,362.4168,362.172938564,5,1,0,0,0,0
117,Phytoestrogens,Phytoestrogens,,Combined,,,,,,,,,,,,,2,4,0,2,0,0
134,Vitamin C,Vitamin C (Ascorbic acid),Vitamin C,Combined,Includes all vitamers with vitamin C activity: they are principally ascorbic acid and dehydroascorbic acid.,,,,,,,,,,,,41,53,1,184,0,10
135,Retinol,Vitamin A (Retinol),Vitamin A; Retinol; Preformed vitamin A,Single,,68-26-8,445354,17336,FDB013828,HMDB00305,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,C20H30O,"InChI=1S/C20H30O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,21H,7,10,14-15H2,1-5H3/b9-6+,12-11+,16-8+,17-13+",FPIPGXGPPPQFEQ-OVSJKPMPSA-N,286.4516,286.229665582,75,50,4,95,0,55
145,5-n-Heptadecylresorcinol (C17:0),Alkylresorcinols,,Single,,41442-57-3,181700,,FDB017915,HMDB38530,CCCCCCCCCCCCCCCCCC1=CC(O)=CC(O)=C1,C23H40O2,"InChI=1S/C23H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21-18-22(24)20-23(25)19-21/h18-20,24-25H,2-17H2,1H3",BBGNINPPDHJETF-UHFFFAOYSA-N,348.5625,348.302830524,7,8,3,17,0,1
146,5-n-Nonadecylresorcinol (C19:0),Alkylresorcinols,,Single,,35176-46-6,161858,,FDB002935,HMDB30956,CCCCCCCCCCCCCCCCCCCC1=CC(O)=CC(O)=C1,C25H44O2,"InChI=1S/C25H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23-20-24(26)22-25(27)21-23/h20-22,26-27H,2-19H2,1H3",PUNOCEUUYUXUGR-UHFFFAOYSA-N,376.6157,376.334130652,7,8,3,17,0,1
147,5-n-Heneicosylresorcinol (C21:0),Alkylresorcinols,,Single,,70110-59-7,155461,,FDB003029,HMDB31035,CCCCCCCCCCCCCCCCCCCCCC1=CC(O)=CC(O)=C1,C27H48O2,"InChI=1S/C27H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-25-22-26(28)24-27(29)23-25/h22-24,28-29H,2-21H2,1H3",BLHLKJLSYHEOGY-UHFFFAOYSA-N,404.6688,404.36543078,7,8,3,17,0,1
148,5-n-Tricosylresorcinol (C23:0),Alkylresorcinols,,Single,,70110-60-0,155462,,FDB017907,HMDB38524,CCCCCCCCCCCCCCCCCCCCCCCC1=CC(O)=CC(O)=C1,C29H52O2,"InChI=1S/C29H52O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-27-24-28(30)26-29(31)25-27/h24-26,30-31H,2-23H2,1H3",OHTBGMREZYLZQD-UHFFFAOYSA-N,432.722,432.396730908,7,8,3,17,0,1
149,5-n-Pentacosylresorcinol (C25:0),Alkylresorcinols,,Single,,70110-61-1,155463,,FDB017853,HMDB38485,CCCCCCCCCCCCCCCCCCCCCCCCCC1=CC(O)=CC(O)=C1,C31H56O2,"InChI=1S/C31H56O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-29-26-30(32)28-31(33)27-29/h26-28,32-33H,2-25H2,1H3",GDJMJAKVVSGNLA-UHFFFAOYSA-N,460.7751,460.428031036,7,8,3,17,0,1
144,Alkylresorcinols,Alkylresorcinols,,Combined,,,,,,,,,,,,,10,10,3,31,0,4
150,5-n-Heptadecylresorcinol (C17:0) / 5-n-Heneicosylresorcinol (C21:0),Alkylresorcinols,,Ratio,,,,,,,,,,,,,3,6,2,5,0,0
838,Lutein/Zeaxanthin,Xanthophylls,Lutein and Zeaxanthin; Lutein + Zeaxanthin; Lutein plus Zeaxanthin; Lutein; trans-Lutein/Zeaxanthin,Combined,"Can abusively be called ""lutein"". This item is used when lutein and zeaxanthin coelute. It is used by default for the intakes unless ""lutein only"" is clearly stated.",,,,,,,,,,,,59,72,8,163,0,24
155,Thiamin,Vitamin B1 (Thiamin),Vitamin B1; Thiamine,Single,,70-16-6,1130,18385,FDB008424,HMDB00235,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,C12H17N4OS,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1",JZRWCGZRTZMZEH-UHFFFAOYSA-N,265.355,265.112306876,6,4,5,27,0,0
156,Riboflavin,Vitamin B2 (Riboflavin),Vitamin B2; Riboflavine,Single,"Riboflavin, also known as vitamin B2, is a vitamin found in food and used as a dietary supplement.",83-88-5,6759,17015,FDB012160,HMDB00244,CC1=CC2=C(C=C1C)N(C[C@@H](O)[C@@H](O)[C@@H](O)CO)C1=NC(=O)NC(=O)C1=N2,C17H20N4O6,"InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/t11-,12+,14-/m1/s1",AUNGANRZJHBGPY-MBNYWOFBSA-N,376.369,376.13828438,22,13,4,18,3,15
